Key	NA	CA	DA6	DA12	DA24
AT4G18100.1	-0.691657	-0.389101	-0.082465	-0.024345	0.573911
AT4G18300.1	-0.380484	-0.280864	-0.005742	-0.162141	-0.411503
AT4G18465.1	-0.096959	-0.339126	-0.276017	-0.268918	-0.221771
AT4G18480.1	-0.353692	-0.300712	-0.141773	-0.120104	0.173673
AT4G18800.1	-0.116309	-0.297013	-0.322828	-0.308911	0.005914
AT4G19410.1	-0.087183	-0.358662	-0.086214	0.123839	0.352158
AT4G19650.1	-0.291076	-0.243633	-0.101302	-0.085496	0.159589
AT4G20050.1	-0.059239	-0.061119	-0.066761	-0.053155	0.008295
AT4G20260.1	-0.262076	-0.091914	-0.028885	-0.024145	0.035803
AT4G20360.1	-0.380619	-0.283446	-0.00607	-0.137906	-0.34735
AT4G20980.1	-0.157817	-0.250028	-0.126237	0.01214	0.182646
AT4G21010.1	-0.9173	-0.274423	0.027381	-0.030138	-0.101199
AT4G21150.1	-0.147547	-0.296644	-0.326464	-0.267251	0.028812
AT4G21280.1	-0.354285	-0.266733	-0.004077	-0.028688	0.154687
AT4G21430.1	-0.496966	-0.70245	-0.415347	-0.003935	0.804121
AT4G21660.1	0.002385	-0.152719	-0.174876	-0.087092	0.562327
AT4G21705.1	-0.012825	-0.162887	-0.184324	-0.157864	0.178087
AT4G21710.1	-0.140174	-0.412408	-0.249068	-0.16309	0.294023
AT4G22240.1	-0.144189	-0.311968	-0.211301	-0.139982	0.23339
AT4G22300.1	-0.0932	-0.147352	-0.073687	0.009205	0.109988
AT4G22430.1	-1.707107	-4.357847	-3.36895	-2.330344	-2.111418
AT4G22670.1	-0.962163	-0.921593	-0.723538	-0.608068	-0.480389
AT4G22880.1	-0.158292	-0.519513	-0.298471	-0.218323	0.185136
AT4G23100.1	-0.092287	-0.417467	-0.228559	-0.166914	0.17221
AT4G23600.1	-4.267956	-4.096845	-3.949062	-3.854942	-3.242392
